,ImageViewed URL (please copy Column C in the next tab),Image,Task1Naming,Task1Meaning,Task1 Ground Truth,Category,,
378,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Radial chart,The Flare package tree,Radial Cluster Diagram,4,,
379,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Treemap,The Flare package tree,Treemap Layout,4,,
380,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Circle ,The Flare package tree,Nested Circles Tree,4,,
381,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,directed graph,Les Misérables character interaction ,force-directed layout,5,,
382,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,Arc graph,Les Misérables character interaction ,arc diagram,5,,
383,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,Matrix graph,Les Misérables character interaction ,matrix view,5,,
384,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Index Chart,Line Graph,Index chart/line chart,1,,
385,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Unemployed US Workers Industry,Stacked Graph,Stacked Graph,1,,
386,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,"Unemployment Rate US workers 
industry","Don't know
(Guessed wave 
graph)",Small Multiples,1,,
387,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,U.S. Unemployment Rate,Horizon Graph,Horizon Graph,1,,
388,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Mechanical Turk Participation rates,Stem and leaf plot,Stem-and-Leaf plot,2,,
389,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Mechanical Turk Participation rates,QQ Plot,Q-Q plot,2,,
390,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Automobile data,Scatter plots,Splom / scatterplot matrix,2,,
391,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Automobile data,Parallel Coordinates,parallel Coordinates,2,,
392,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,Marching path data,"Flow Map of 
Napoleon's March
 on Moscow",flow map / mpa,3,,
393,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Obesity data,"Chropleth Map of 
Obesity in the US",Choropleth Map,3,,
394,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Obesity US,"Graduated Symbol 
map",Graduated Symbol Map,3,,
395,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Obesity Percentage USA State,Cartogram,Dorling Cartogram/Area Chart,3,,
396,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,Flare package,Node-link tree,Node-link diagram / tree,4,,
397,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Variables Workflow Database Backend,Radial Cluster,Radial Cluster Diagram,4,,
398,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,Flare Visualization Toolkit,Flare Package Tree,Indented Tree,4,,
399,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,Database Workflow Visualization,Icicle Tree,Icicle Tree,4,,
400,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Selected Technology Stocks,Index Chart,Sunburst Tree,4,,
401,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Flare Package Tree,Flare Package Tree,Treemap Layout,4,,
402,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Flare tree,Bubble Chart,Nested Circles Tree,4,,
403,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,Cluster Interactions,Le Miserables Force,force-directed layout,5,,
404,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,"Character interactions 
Les Miserables",I Don't know,arc diagram,5,,
405,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,"Character interactions 
Les Miserables",I don't know,matrix view,5,,
406,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Stock Gains/Losses,Multiple Line Chart,Index chart/line chart,1,,
407,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Unemployed U.S. Workers,Stacked Graph,Stacked Graph,1,,
408,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Unemployment Rate,Area Graph,Small Multiples,1,,
409,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,"Horizon Graphs U.S. Unemployment 
Rate",Horizon Graphs,Horizon Graph,1,,
410,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Participation rate distribution,Stem and leaf plot,Stem-and-Leaf plot,2,,
411,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,"Q-Q Plot Mechanical Turk Participation
Rates",Q-Q Plot,Q-Q plot,2,,
412,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatterplot Matrix Automobile Data,"Showcases a presence or lack linear correlation between the vairables of horsepower, weight, acceleration, displacement by various countries.",Splom / scatterplot matrix,2,,
413,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Parallel Coordinates Automobile Data,Parallel Coordinates,parallel Coordinates,2,,
414,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,Flow map Napoleon's march Moscow,Flow Map,flow map / mpa,3,,
415,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Color coded maps obesity rates state time,Heatmap with slider for time,Choropleth Map,3,,
416,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Pie charts obesity rates state,"Shows the proportion of people who are normal, overweight, and obese in each state ",Graduated Symbol Map,3,,
417,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,"Dorling Cartogram Obesity United
States",Dorling Cartogram,Dorling Cartogram/Area Chart,3,,
418,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,"Flare package tree horizontal
layers",Tree with nodes,Node-link diagram / tree,4,,
419,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Flare Package Radial Layers,Node Tree,Radial Cluster Diagram,4,,
420,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,Components flare package,Expanded view of nested tree,Indented Tree,4,,
421,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4D.png,,Flare package horizontal layers,Don't know,Icicle Tree,4,,
422,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Pie breakdown flare.vis.data,"Proportional Pie
Chart",Sunburst Tree,4,,
423,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,Flare package sub-divided rectangles,Don't know,Treemap Layout,4,,
424,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,"Flare package 
Recursively packed circles",Recursive Circles,Nested Circles Tree,4,,
425,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5A.png,,"Force directed graph character 
interaction Les Miserables","Force Dirtected 
Graph",force-directed layout,5,,
426,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,"Appearances characters Les 
Miserables",Don't know,arc diagram,5,,
427,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,Character Interactions in Les Miserables,Interaction Matrix,matrix view,5,,
428,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Line Chart,Stock Price Plot ,Index chart/line chart,1,,
429,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Stacked Graph,Unemployed US workers Stacked Graph,Stacked Graph,1,,
430,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Hisgrams,Multiple hisgram of Unemployment Ratio,Small Multiples,1,,
431,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,horizon graph,US unemployment rate horizon graphs,Horizon Graph,1,,
432,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Table,mTurk participation rates,Stem-and-Leaf plot,2,,
433,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Line Chart,mTurk Participation Ratio ,Q-Q plot,2,,
434,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatterplots,Automobile parameter scatter plots,Splom / scatterplot matrix,2,,
435,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,Map,Map of river on Moscow,flow map / mpa,3,,
436,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Map,Map of Obesity in US by states,Choropleth Map,3,,
437,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,Pie Chart on Map,Map of obesity in US states with detailed categorization,Graduated Symbol Map,3,,
438,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Scatter Plot,Obesity in US states shown in dot plot,Dorling Cartogram/Area Chart,3,,
439,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,B Tree ,I don't know,Node-link diagram / tree,4,,
440,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,industry-wise employment trends,small multiples,Small Multiples,1,,
441,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,mechanical turk task group completion quantile chart,quantile chart,Q-Q plot,2,,
442,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,index chart of selected tecgnology stocks,index chart,Index chart/line chart,1,,
443,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,industry-based stacked graph unemployed US workers,stacked graph,Stacked Graph,1,,
444,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,Napoleon's invasion route map,route map,flow map / mpa,3,,
445,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Obesity Heatmap US,Heatmap ,Choropleth Map,3,,
446,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,unemployment rate,idk,Horizon Graph,1,,
447,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,stocks trend,index graph,Index chart/line chart,1,,
448,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4C.png,,package source map,layer tree ,Indented Tree,4,,
449,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,turkers' task completion QQ plot,QQ plot,Q-Q plot,2,,
450,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,character relationship,matrix,matrix view,5,,
451,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,unemployment rate,idk,Horizon Graph,1,,
452,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,US Obesity Trends Choropleth Map,Choropleth Map,Choropleth Map,3,,
453,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,U.S. obesity area chart,area chart,Dorling Cartogram/Area Chart,3,,
454,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,turk participation rates,idk,Stem-and-Leaf plot,2,,
455,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,automobile data,scatterplot,Splom / scatterplot matrix,2,,
456,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,package relationship,hierarchies,Nested Circles Tree,4,,
457,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,tech stock trends,line chart,Index chart/line chart,1,,
458,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,obesity density chart,area chart,Dorling Cartogram/Area Chart,3,,
459,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,mechanical turk participation distribution plot,distribution plot,Q-Q plot,2,,
460,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,package inheritance relationship,idk,Radial Cluster Diagram,4,,
461,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,US obesity,idk,Choropleth Map,3,,
462,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,U.S. unemployment rates by sector,small multiples plot,Small Multiples,1,,
463,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,flowchart Napoleon's march Moscow,flow chart ,flow map / mpa,3,,
464,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,unemployment rate,Horizon Plot,Horizon Graph,1,,
465,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,automobile data,scatterplot,Splom / scatterplot matrix,2,,
466,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4A.png,,organizational hierarchy,tree,Node-link diagram / tree,4,,
467,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4F.png,,package size,treemap,Treemap Layout,4,,
468,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,selected tech stocks trend chart,line chart,Index chart/line chart,1,,
469,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,quantile-quantile plot of mechanical turk participation,quantile-quantile plot,Q-Q plot,2,,
470,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,layered unemployment graph: US workers sector,layered graph,Stacked Graph,1,,
471,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,package nested relationship,nested circle,Nested Circles Tree,4,,
472,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Stock Graph,Sector stocks growth,Index chart/line chart,1,,
473,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,State wise obesity pie chart,Pie charts,Graduated Symbol Map,3,,
474,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,Horizon Graphs U.S. Unemployment Rate,Horizon Graphs,Horizon Graph,1,,
475,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,Small Multiples Unemployed U.S. Workers Normalized Industry,Small multiples,Small Multiples,1,,
476,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Index Chart,Growth/Loss vs Time,Index chart/line chart,1,,
477,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Stacked Graph Unemployed U.S. Workers Industry,stacked graph,Stacked Graph,1,,
478,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,parallel Coordinates Automobile Data,parallel Coordinates,parallel Coordinates,2,,
479,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Unemployment Rate U.S. Workers Industry,Line graph,Stacked Graph,1,,
480,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1B.png,,Unemployment graph,Stacked Graph,Stacked Graph,1,,
481,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1C.png,,small multiples,Unemployment rate of US workers by industry,Small Multiples,1,,
482,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Stock Index chart,Loss and gain Index chart,Index chart/line chart,1,,
483,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,Horizon Graph unemployment,Horizon Graph,Horizon Graph,1,,
484,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2D.png,,Parallel Coordinates Automobile Data,Automobile data,parallel Coordinates,2,,
485,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Automobile Chart,Scatter Plot Matrix,Splom / scatterplot matrix,2,,
486,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3A.png,,flow map / mpa,Map ,flow map / mpa,3,,
487,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,stem-and-leaf plot,Data representation in 0/1,Stem-and-Leaf plot,2,,
488,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3C.1.png,,pie chart / area chart,Area chart,Graduated Symbol Map,3,,
489,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Q-Q plot mechanical turk,Q-Q Plot,Q-Q plot,2,,
490,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Dorling Cartogram/area chart,Area chart,Dorling Cartogram/Area Chart,3,,
491,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,choroploth map,colormap ,Choropleth Map,3,,
492,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5B.png,,arc diagram,word frequency ,arc diagram,5,,
493,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2B.1.png,,Q-plot,Distribution Plot,Q-Q plot,2,,
494,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Cartogram Obesity,Cartogram,Dorling Cartogram/Area Chart,3,,
495,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Chloropeth Map Obesity,Don't Know,Choropleth Map,3,,
496,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/5C.png,,Les Miserables Character Bar Graph,Bar Graph,matrix view,5,,
497,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1A.png,,Technology Stocks Index,Scatterplot,Index chart/line chart,1,,
498,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3B.png,,Chloropeth Map Obesity,Chloropeth,Choropleth Map,3,,
499,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/1D.png,,U.S. Unemployment Horizon Graph,Bar Graph,Horizon Graph,1,,
500,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/3D.1.png,,Cartogram Obesity,Cartogram,Dorling Cartogram/Area Chart,3,,
501,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2A.png,,Mechanical Turk Participation Rates,Don't Know,Stem-and-Leaf plot,2,,
502,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4G.png,,Circles Layout Flare Package Hierarchy,Cartesian,Nested Circles Tree,4,,
503,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/2C.png,,Scatterplots Automobile Data,Scatterplot,Splom / scatterplot matrix,2,,
504,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4B.png,,Node-link Diagram Flare Package Hierarchy,Don't Know,Radial Cluster Diagram,4,,
505,https://web.cse.ohio-state.edu/~chen.8028/Teaching/2023Lab5Data/4E.png,,Sunburst Flare Package Hierarchy,Sunburst,Sunburst Tree,4,,
